原子序数,符号,标准原子质量,原子质量来源
1,H,1.007942588,NIST_Table1_Z_over_A_v1.4
2,He,4.002561639,NIST_Table1_Z_over_A_v1.4
3,Li,6.941070313,NIST_Table1_Z_over_A_v1.4
4,Be,9.012256669,NIST_Table1_Z_over_A_v1.4
5,B,10.81197967,NIST_Table1_Z_over_A_v1.4
6,C,12.01105017,NIST_Table1_Z_over_A_v1.4
7,N,14.00672323,NIST_Table1_Z_over_A_v1.4
8,O,15.99936003,NIST_Table1_Z_over_A_v1.4
9,F,18.99856455,NIST_Table1_Z_over_A_v1.4
10,Ne,20.17959843,NIST_Table1_Z_over_A_v1.4
11,Na,22.98994712,NIST_Table1_Z_over_A_v1.4
12,Mg,24.30478197,NIST_Table1_Z_over_A_v1.4
13,Al,26.98159025,NIST_Table1_Z_over_A_v1.4
14,Si,28.08537955,NIST_Table1_Z_over_A_v1.4
15,P,30.9738168,NIST_Table1_Z_over_A_v1.4
16,S,32.06605608,NIST_Table1_Z_over_A_v1.4
17,Cl,35.45285813,NIST_Table1_Z_over_A_v1.4
18,Ar,39.94762423,NIST_Table1_Z_over_A_v1.4
19,K,39.0986727,NIST_Table1_Z_over_A_v1.4
20,Ca,40.07775084,NIST_Table1_Z_over_A_v1.4
21,Sc,44.95632814,NIST_Table1_Z_over_A_v1.4
22,Ti,47.88021241,NIST_Table1_Z_over_A_v1.4
23,V,50.94130676,NIST_Table1_Z_over_A_v1.4
24,Cr,51.99644691,NIST_Table1_Z_over_A_v1.4
25,Mn,54.9378104,NIST_Table1_Z_over_A_v1.4
26,Fe,55.84672223,NIST_Table1_Z_over_A_v1.4
27,Co,58.93266397,NIST_Table1_Z_over_A_v1.4
28,Ni,58.6903664,NIST_Table1_Z_over_A_v1.4
29,Cu,63.54632308,NIST_Table1_Z_over_A_v1.4
30,Zn,65.38939384,NIST_Table1_Z_over_A_v1.4
31,Ga,69.72245963,NIST_Table1_Z_over_A_v1.4
32,Ge,72.61010642,NIST_Table1_Z_over_A_v1.4
33,As,74.9216728,NIST_Table1_Z_over_A_v1.4
34,Se,78.95959127,NIST_Table1_Z_over_A_v1.4
35,Br,79.90320298,NIST_Table1_Z_over_A_v1.4
36,Kr,83.80083335,NIST_Table1_Z_over_A_v1.4
37,Rb,85.46811115,NIST_Table1_Z_over_A_v1.4
38,Sr,87.62018954,NIST_Table1_Z_over_A_v1.4
39,Y,88.90509951,NIST_Table1_Z_over_A_v1.4
40,Zr,91.22422916,NIST_Table1_Z_over_A_v1.4
41,Nb,92.90731928,NIST_Table1_Z_over_A_v1.4
42,Mo,95.94079083,NIST_Table1_Z_over_A_v1.4
43,Tc,97.90751156,NIST_Table1_Z_over_A_v1.4
44,Ru,101.0704277,NIST_Table1_Z_over_A_v1.4
45,Rh,102.906538,NIST_Table1_Z_over_A_v1.4
46,Pd,106.4198959,NIST_Table1_Z_over_A_v1.4
47,Ag,107.8674378,NIST_Table1_Z_over_A_v1.4
48,Cd,112.412178,NIST_Table1_Z_over_A_v1.4
49,In,114.8186334,NIST_Table1_Z_over_A_v1.4
50,Sn,118.708452,NIST_Table1_Z_over_A_v1.4
51,Sb,121.7503402,NIST_Table1_Z_over_A_v1.4
52,Te,127.6010993,NIST_Table1_Z_over_A_v1.4
53,I,126.9035533,NIST_Table1_Z_over_A_v1.4
54,Xe,131.2910284,NIST_Table1_Z_over_A_v1.4
55,Cs,132.904816,NIST_Table1_Z_over_A_v1.4
56,Ba,137.3255842,NIST_Table1_Z_over_A_v1.4
57,La,138.9058121,NIST_Table1_Z_over_A_v1.4
58,Ce,140.1135403,NIST_Table1_Z_over_A_v1.4
59,Pr,140.9089824,NIST_Table1_Z_over_A_v1.4
60,Nd,144.2411712,NIST_Table1_Z_over_A_v1.4
61,Pm,144.9137644,NIST_Table1_Z_over_A_v1.4
62,Sm,150.3613523,NIST_Table1_Z_over_A_v1.4
63,Eu,151.9646863,NIST_Table1_Z_over_A_v1.4
64,Gd,157.2520209,NIST_Table1_Z_over_A_v1.4
65,Tb,158.9242054,NIST_Table1_Z_over_A_v1.4
66,Dy,162.5015388,NIST_Table1_Z_over_A_v1.4
67,Ho,164.9311966,NIST_Table1_Z_over_A_v1.4
68,Er,167.2610995,NIST_Table1_Z_over_A_v1.4
69,Tm,168.9354618,NIST_Table1_Z_over_A_v1.4
70,Yb,173.0403184,NIST_Table1_Z_over_A_v1.4
71,Lu,174.9673476,NIST_Table1_Z_over_A_v1.4
72,Hf,178.4917448,NIST_Table1_Z_over_A_v1.4
73,Ta,180.9483677,NIST_Table1_Z_over_A_v1.4
74,W,183.8509317,NIST_Table1_Z_over_A_v1.4
75,Re,186.2058692,NIST_Table1_Z_over_A_v1.4
76,Os,190.1997097,NIST_Table1_Z_over_A_v1.4
77,Ir,192.2212791,NIST_Table1_Z_over_A_v1.4
78,Pt,195.0780312,NIST_Table1_Z_over_A_v1.4
79,Au,196.9681859,NIST_Table1_Z_over_A_v1.4
80,Hg,200.5917456,NIST_Table1_Z_over_A_v1.4
81,Tl,204.3854558,NIST_Table1_Z_over_A_v1.4
82,Pb,207.2015161,NIST_Table1_Z_over_A_v1.4
83,Bi,208.9785231,NIST_Table1_Z_over_A_v1.4
84,Po,208.9812166,NIST_Table1_Z_over_A_v1.4
85,At,209.9854245,NIST_Table1_Z_over_A_v1.4
86,Rn,222.015696,NIST_Table1_Z_over_A_v1.4
87,Fr,223.0197385,NIST_Table1_Z_over_A_v1.4
88,Ra,226.023527,NIST_Table1_Z_over_A_v1.4
89,Ac,227.0292332,NIST_Table1_Z_over_A_v1.4
90,Th,232.0365071,NIST_Table1_Z_over_A_v1.4
91,Pa,231.0348329,NIST_Table1_Z_over_A_v1.4
92,U,238.0274767,NIST_Table1_Z_over_A_v1.4
93,Np,237,CIAAW_NUBASE2020_reference_mass_number
94,Pu,244,CIAAW_NUBASE2020_reference_mass_number
95,Am,243,CIAAW_NUBASE2020_reference_mass_number
96,Cm,247,CIAAW_NUBASE2020_reference_mass_number
97,Bk,247,CIAAW_NUBASE2020_reference_mass_number
98,Cf,251,CIAAW_NUBASE2020_reference_mass_number
99,Es,252,CIAAW_NUBASE2020_reference_mass_number
100,Fm,257,CIAAW_NUBASE2020_reference_mass_number
101,Md,258,CIAAW_NUBASE2020_reference_mass_number
102,No,259,CIAAW_NUBASE2020_reference_mass_number
103,Lr,262,CIAAW_NUBASE2020_reference_mass_number
104,Rf,267,CIAAW_NUBASE2020_reference_mass_number
105,Db,268,CIAAW_NUBASE2020_reference_mass_number
106,Sg,269,CIAAW_NUBASE2020_reference_mass_number
107,Bh,270,CIAAW_NUBASE2020_reference_mass_number
108,Hs,269,CIAAW_NUBASE2020_reference_mass_number
109,Mt,277,CIAAW_NUBASE2020_reference_mass_number
110,Ds,281,CIAAW_NUBASE2020_reference_mass_number
111,Rg,282,CIAAW_NUBASE2020_reference_mass_number
112,Cn,285,CIAAW_NUBASE2020_reference_mass_number
113,Nh,286,CIAAW_NUBASE2020_reference_mass_number
114,Fl,290,CIAAW_NUBASE2020_reference_mass_number
115,Mc,290,CIAAW_NUBASE2020_reference_mass_number
116,Lv,293,CIAAW_NUBASE2020_reference_mass_number
117,Ts,294,CIAAW_NUBASE2020_reference_mass_number
118,Og,294,CIAAW_NUBASE2020_reference_mass_number
